study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB5235	SAMEA2340764	ERX384339	ERR418039	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418039/ERR418039.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418039/ERR418039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418039/ERR418039_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418039/RF_001_SZAXPI008746-45.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418039
PRJEB5235	SAMEA2340765	ERX384340	ERR418040	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418040/ERR418040.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418040/ERR418040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418040/ERR418040_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418040/RF_002_SZAXPI009284-57.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418040
PRJEB5235	SAMEA2340766	ERX384341	ERR418041	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418041/ERR418041.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418041/ERR418041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418041/ERR418041_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418041/RF_003_SZAXPI009285-62.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418041
PRJEB5235	SAMEA2340767	ERX384342	ERR418042	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418042/ERR418042.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418042/ERR418042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418042/ERR418042_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418042/RF_004_SZAXPI009286-74.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418042
PRJEB5235	SAMEA2340768	ERX384343	ERR418043	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418043/ERR418043.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418043/ERR418043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418043/ERR418043_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418043/RF_005_SZAXPI009287-75.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418043
PRJEB5235	SAMEA2340769	ERX384344	ERR418044	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418044/ERR418044.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418044/ERR418044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418044/ERR418044_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418044/RF_006_SZAXPI009288-79.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418044
PRJEB5235	SAMEA2340770	ERX384345	ERR418045	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418045/ERR418045.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418045/ERR418045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418045/ERR418045_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418045/RF_007_SZAXPI009289-84.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418045
PRJEB5235	SAMEA2340771	ERX384346	ERR418046	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418046/ERR418046.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418046/ERR418046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418046/ERR418046_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418046/RF_008_SZAXPI009290-87.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418046
PRJEB5235	SAMEA2340772	ERX384347	ERR418047	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418047/ERR418047.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418047/ERR418047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418047/ERR418047_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418047/RF_011_SZAXPI009291-88.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418047
PRJEB5235	SAMEA2340773	ERX384348	ERR418048	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418048/ERR418048.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418048/ERR418048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418048/ERR418048_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418048/RF_012_SZAXPI009292-89.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418048
